Year,Category,Winner
1942,Cinematography (Black-and-White),Joseph Ruttenberg
1942,Cinematography (Color),Leon Shamroy
1942,Directing,William Wyler
1942,Film Editing,Daniel Mandell
1942,Best Picture,Mrs. Miniver
1942,Writing (Original Story),Emeric Pressburger
1942,Writing (Original Screenplay),Ring Lardner Jr. / Michael Kanin
1942,Writing (Adapted Screenplay),Arthur Wimperis / George Froeschel / James Hilton / Claudine West
1943,Actor in a Leading Role,Paul Lukas
1943,Actor in a Supporting Role,Charles Coburn
1943,Actress in a Leading Role,Jennifer Jones
1943,Actress in a Supporting Role,Katina Paxinou
1943,Art Direction (Black-and-White),James Basevi / William Darling / Thomas Little
1943,Art Direction (Color),John B. Goodman / Alexander Golitzen / Russell A. Gausman / Ira S. Webb
1943,Cinematography (Black-and-White),Arthur Miller
1943,Cinematography (Color),Hal Mohr / W. Howard Greene
1943,Directing,Michael Curtiz
1943,Film Editing,George Amy
1943,Best Picture,Casablanca
1943,Writing (Original Story),William Saroyan
1943,Writing (Original Screenplay),Norman Krasna
1943,Writing (Adapted Screenplay),Julius J. Epstein / Philip G. Epstein / Howard Koch
1944,Actor in a Leading Role,Bing Crosby
1944,Actor in a Supporting Role,Barry Fitzgerald
1944,Actress in a Leading Role,Ingrid Bergman
1944,Actress in a Supporting Role,Ethel Barrymore
1944,Art Direction (Black-and-White),Cedric Gibbons / William Ferrari / Edwin B. Willis / Paul Huldschinsky
1944,Art Direction (Color),Wiard Ihnen / Thomas Little
1944,Cinematography (Black-and-White),Joseph LaShelle
1944,Cinematography (Color),Leon Shamroy
1944,Directing,Leo McCarey
1944,Film Editing,Barbara McLean
1944,Best Picture,Going My Way
1944,Writing (Original Story),Leo McCarey
1944,Writing (Original Screenplay),Lamar Trotti
1944,Writing (Adapted Screenplay),Frank Butler / Frank Cavett
1945,Actor in a Leading Role,Ray Milland
1945,Actor in a Supporting Role,James Dunn
1945,Actress in a Leading Role,Joan Crawford
1945,Actress in a Supporting Role,Anne Revere
1945,Art Direction (Black-and-White),Wiard Ihnen / A. Roland Fields
1945,Art Direction (Color),Hans Dreier / Ernst Fegte / Sam Comer
1945,Cinematography (Black-and-White),Harry Stradling
1945,Cinematography (Color),Leon Shamroy
1945,Directing,Billy Wilder
1945,Film Editing,Robert J. Kern
1945,Best Picture,The Lost Weekend
1945,Writing (Original Story),Charles G. Booth
1945,Writing (Original Screenplay),Richard Schweizer
1945,Writing (Adapted Screenplay),Charles Brackett / Billy Wilder
1946,Actor in a Leading Role,Fredric March
1946,Actor in a Supporting Role,Harold Russell
1946,Actress in a Leading Role,Olivia de Havilland
1946,Actress in a Supporting Role,Anne Baxter
1946,Art Direction (Black-and-White),Lyle Wheeler / William Darling / Thomas Little / Frank E. Hughes
1946,Art Direction (Color),Cedric Gibbons / Paul Groesse / Edwin B. Willis
1946,Cinematography (Black-and-White),Arthur Miller
1946,Cinematography (Color),Charles Rosher / Leonard Smith / Arthur Arling
1946,Directing,William Wyler
1946,Film Editing,Daniel Mandell
1946,Best Picture,The Best Years of Our Lives
1946,Writing (Original Story),Clemence Dane
1946,Writing (Original Screenplay),Muriel Box / Sydney Box
1946,Writing (Adapted Screenplay),Robert E. Sherwood
1947,Actor in a Leading Role,Ronald Colman
1947,Actor in a Supporting Role,Edmund Gwenn
1947,Actress in a Leading Role,Loretta Young
1947,Actress in a Supporting Role,Celeste Holm
1947,Art Direction (Black-and-White),John Bryan / Wilfred Shingleton
1947,Art Direction (Color),Alfred Junge
1947,Cinematography (Black-and-White),Guy Green
1947,Cinematography (Color),Jack Cardiff
1947,Directing,Elia Kazan
1947,Film Editing,Francis Lyon / Robert Parrish
1947,Best Picture,Gentleman's Agreement
1947,Writing (Original Story),Valentine Davies
1947,Writing (Original Screenplay),Sidney Sheldon
1947,Writing (Adapted Screenplay),George Seaton
1948,Actor in a Leading Role,Laurence Olivier
1948,Actor in a Supporting Role,Walter Huston
1948,Actress in a Leading Role,Jane Wyman
1948,Actress in a Supporting Role,Claire Trevor
1948,Art Direction (Black-and-White),Roger K. Furse / Carmen Dillon
1948,Art Direction (Color),Hein Heckroth / Arthur Lawson
1948,Cinematography (Black-and-White),William Daniels
1948,Cinematography (Color),Joseph Valentine / William V. Skall / Winton Hoch
1948,Costume Design (Black-and-White),Roger K. Furse
1948,Costume Design (Color),Dorothy Jeakins / Karinska
1948,Directing,John Huston
1948,Film Editing,Paul Weatherwax
1948,Best Picture,Hamlet
1948,Writing (Original Story),Richard Schweizer / David Wechsler
1948,Writing (Adapted Screenplay),John Huston
1949,Actor in a Leading Role,Broderick Crawford
1949,Actor in a Supporting Role,Dean Jagger
1949,Actress in a Leading Role,Olivia de Havilland
1949,Actress in a Supporting Role,Mercedes McCambridge
1949,Art Direction (Black-and-White),Harry Horner / John Meehan / Emile Kuri
1949,Art Direction (Color),Cedric Gibbons / Paul Groesse / Edwin B. Willis / Jack D. Moore
1949,Cinematography (Black-and-White),Paul C. Vogel
1949,Cinematography (Color),Winton Hoch
1949,Costume Design (Black-and-White),Edith Head / Gile Steele
1949,Costume Design (Color),Leah Rhodes / Travilla / Marjorie Best
1949,Directing,Joseph L. Mankiewicz
1949,Film Editing,Harry Gerstad
1949,Best Picture,All the King's Men
1949,Writing (Original Story),Douglas Morrow
1949,Writing (Adapted Screenplay),Joseph L. Mankiewicz
1949,Writing (Original Screenplay),Robert Pirosh
1950,Actor in a Leading Role,José Ferrer
1950,Actor in a Supporting Role,George Sanders
1950,Actress in a Leading Role,Judy Holliday
1950,Actress in a Supporting Role,Josephine Hull
1950,Art Direction (Black-and-White),Hans Dreier / John Meehan / Sam Comer / Ray Moyer
1950,Art Direction (Color),Hans Dreier / Walter Tyler / Sam Comer / Ray Moyer
1950,Cinematography (Black-and-White),Robert Krasker
1950,Cinematography (Color),Robert Surtees
1950,Costume Design (Black-and-White),Edith Head / Charles LeMaire
1950,Costume Design (Color),Edith Head / Dorothy Jeakins / Elois Jenssen / Gile Steele / Gwen Wakeling
1950,Directing,Joseph L. Mankiewicz
1950,Film Editing,Ralph E. Winters / Conrad A. Nervig
1950,Best Picture,All about Eve
1950,Writing (Original Story),Edna Anhalt / Edward Anhalt
1950,Writing (Adapted Screenplay),Joseph L. Mankiewicz
1950,Writing (Original Screenplay),Charles Brackett / Billy Wilder / D. M. Marshman Jr.
1951,Actor in a Leading Role,Humphrey Bogart
1951,Actor in a Supporting Role,Karl Malden
1951,Actress in a Leading Role,Vivien Leigh
1951,Actress in a Supporting Role,Kim Hunter
1951,Art Direction (Black-and-White),Richard Day / George James Hopkins
1951,Art Direction (Color),Cedric Gibbons / Preston Ames / Edwin B. Willis / Keogh Gleason
1951,Cinematography (Black-and-White),William C. Mellor
1951,Cinematography (Color),Alfred Gilks / John Alton
1951,Costume Design (Black-and-White),Edith Head
1951,Costume Design (Color),Orry-Kelly / Walter Plunkett / Irene Sharaff
1951,Directing,George Stevens
1951,Film Editing,William Hornbeck
1951,Best Picture,An American in Paris
1951,Writing (Original Story),Paul Dehn / James Bernard
1951,Writing (Adapted Screenplay),Michael Wilson / Harry Brown
1951,Writing (Original Screenplay),Alan Jay Lerner
1952,Actor in a Leading Role,Gary Cooper
1952,Actor in a Supporting Role,Anthony Quinn
1952,Actress in a Leading Role,Shirley Booth
1952,Actress in a Supporting Role,Gloria Grahame
1952,Art Direction (Black-and-White),Cedric Gibbons / Edward Carfagno / Edwin B. Willis / Keogh Gleason
1952,Art Direction (Color),Paul Sheriff / Marcel Vertes
1952,Cinematography (Black-and-White),Robert Surtees
1952,Cinematography (Color),Winton C. Hoch / Archie Stout
1952,Costume Design (Black-and-White),Helen Rose
1952,Costume Design (Color),Marcel Vertes
1952,Directing,John Ford
1952,Film Editing,Elmo Williams / Harry Gerstad
1952,Best Picture,The Greatest Show on Earth
1952,Writing (Original Story),Fredric M. Frank / Theodore St. John / Frank Cavett
1952,Writing (Adapted Screenplay),Charles Schnee
1952,Writing (Original Screenplay),T. E. B. Clarke
1953,Actor in a Leading Role,William Holden
1953,Actor in a Supporting Role,Frank Sinatra
1953,Actress in a Leading Role,Audrey Hepburn
1953,Actress in a Supporting Role,Donna Reed
1953,Art Direction (Black-and-White),Cedric Gibbons / Edward Carfagno / Edwin B. Willis / Hugh Hunt
1953,Art Direction (Color),Lyle Wheeler / George W. Davis / Walter M. Scott / Paul S. Fox
1953,Cinematography (Black-and-White),Burnett Guffey
1953,Cinematography (Color),Loyal Griggs
1953,Costume Design (Black-and-White),Edith Head
1953,Costume Design (Color),Charles LeMaire / Emile Santiago
1953,Directing,Fred Zinnemann
1953,Film Editing,William Lyon
1953,Best Picture,From Here to Eternity
1953,Writing (Original Story),Dalton Trumbo
1953,Writing (Adapted Screenplay),Daniel Taradash
1953,Writing (Original Screenplay),Charles Brackett / Walter Reisch / Richard Breen
1954,Actor in a Leading Role,Marlon Brando
1954,Actor in a Supporting Role,Edmond O'Brien
1954,Actress in a Leading Role,Grace Kelly
1954,Actress in a Supporting Role,Eva Marie Saint
1954,Art Direction (Black-and-White),Richard Day
1954,Art Direction (Color),John Meehan / Emile Kuri
1954,Cinematography (Black-and-White),Boris Kaufman
1954,Cinematography (Color),Milton Krasner
1954,Costume Design (Black-and-White),Edith Head
1954,Costume Design (Color),Sanzo Wada
1954,Directing,Elia Kazan
1954,Film Editing,Gene Milford
1954,Best Picture,On the Waterfront
1954,Writing (Original Story),Philip Yordan
1954,Writing (Adapted Screenplay),George Seaton
1954,Writing (Original Screenplay),Budd Schulberg
1955,Actor in a Leading Role,Ernest Borgnine
1955,Actor in a Supporting Role,Jack Lemmon
1955,Actress in a Leading Role,Anna Magnani
1955,Actress in a Supporting Role,Jo Van Fleet
1955,Art Direction (Black-and-White),Hal Pereira / Tambi Larsen / Sam Comer / Arthur Krams
1955,Art Direction (Color),William Flannery / Jo Mielziner / Robert Priestley
1955,Cinematography (Black-and-White),James Wong Howe
1955,Cinematography (Color),Robert Burks
1955,Costume Design (Black-and-White),Helen Rose
1955,Costume Design (Color),Charles LeMaire
1955,Directing,Delbert Mann
1955,Film Editing,Charles Nelson / William A. Lyon
1955,Best Picture,Marty
1955,Writing (Original Story),Daniel Fuchs
1955,Writing (Adapted Screenplay),Paddy Chayefsky
1955,Writing (Original Screenplay),William Ludwig / Sonya Levien
1956,Actor in a Leading Role,Yul Brynner
1956,Actor in a Supporting Role,Anthony Quinn
1956,Actress in a Leading Role,Ingrid Bergman
1956,Actress in a Supporting Role,Dorothy Malone
1956,Art Direction (Black-and-White),Cedric Gibbons / Malcolm F. Brown / Edwin B. Willis / F. Keogh Gleason
1956,Art Direction (Color),Lyle R. Wheeler / John DeCuir / Walter M. Scott / Paul S. Fox
1956,Cinematography (Black-and-White),Joseph Ruttenberg
1956,Cinematography (Color),Lionel Lindon
1956,Costume Design (Black-and-White),Jean Louis
1956,Costume Design (Color),Irene Sharaff
1956,Directing,George Stevens
1956,Film Editing,Gene Ruggiero / Paul Weatherwax
1956,International Feature Film,La Strada
1956,Best Picture,Around the World in 80 Days
1956,Writing (Original Story),Dalton Trumbo
1956,Writing (Adapted Screenplay),James Poe / John Farrow / S.J. Perelman
1956,Writing (Original Screenplay),Albert Lamorisse
1957,Actor in a Leading Role,Alec Guinness
1957,Actor in a Supporting Role,Red Buttons
1957,Actress in a Leading Role,Joanne Woodward
1957,Actress in a Supporting Role,Miyoshi Umeki
1957,Art Direction,Ted Haworth / Robert Priestley
1957,Cinematography,Jack Hildyard
1957,Costume Design,Orry-Kelly
1957,Directing,David Lean
1957,Film Editing,Peter Taylor
1957,International Feature Film,The Nights of Cabiria
1957,Best Picture,The Bridge on the River Kwai
1957,Writing (Adapted Screenplay),Michael Wilson / Carl Foreman / Pierre Boulle
1957,Writing (Original Screenplay),George Wells
1958,Actor in a Leading Role,David Niven
1958,Actor in a Supporting Role,Burl Ives
1958,Actress in a Leading Role,Susan Hayward
1958,Actress in a Supporting Role,Wendy Hiller
1958,Art Direction,William A. Horning / Preston Ames / Henry Grace / Keogh Gleason
1958,Cinematography (Black-and-White),Sam Leavitt
1958,Cinematography (Color),Joseph Ruttenberg
1958,Costume Design,Cecil Beaton
1958,Directing,Vincente Minnelli
1958,Film Editing,Adrienne Fazan
1958,International Feature Film,My Uncle
1958,Best Picture,Gigi
1958,Writing (Adapted Screenplay),Alan Jay Lerner
1958,Writing (Original Screenplay),Nedrick Young / Harold Jacob Smith
1959,Actor in a Leading Role,Charlton Heston
1959,Actor in a Supporting Role,Hugh Griffith
1959,Actress in a Leading Role,Simone Signoret
1959,Actress in a Supporting Role,Shelley Winters
1959,Art Direction (Black-and-White),Lyle R. Wheeler / George W. Davis / Walter M. Scott / Stuart A. Reiss
1959,Art Direction (Color),William A. Horning / Edward Carfagno / Hugh Hunt
1959,Cinematography (Black-and-White),William C. Mellor
1959,Cinematography (Color),Robert L. Surtees
1959,Costume Design (Black-and-White),Orry-Kelly
1959,Costume Design (Color),Elizabeth Haffenden
1959,Directing,William Wyler
1959,Film Editing,Ralph E. Winters / John D. Dunning
1959,International Feature Film,Black Orpheus
1959,Best Picture,Ben-Hur
1959,Writing (Adapted Screenplay),Neil Paterson
1959,Writing (Original Screenplay),Russell Rouse / Clarence Greene / Stanley Shapiro / Maurice Richlin
1960,Actor in a Leading Role,Burt Lancaster
1960,Actor in a Supporting Role,Peter Ustinov
1960,Actress in a Leading Role,Elizabeth Taylor
1960,Actress in a Supporting Role,Shirley Jones
1960,Art Direction (Black-and-White),Alexander Trauner / Edward G. Boyle
1960,Art Direction (Color),Alexander Golitzen / Eric Orbom / Russell A. Gausman / Julia Heron
1960,Cinematography (Black-and-White),Freddie Francis
1960,Cinematography (Color),Russell Metty
1960,Costume Design (Black-and-White),Edith Head / Edward Stevenson
1960,Costume Design (Color),Valles / Bill Thomas
1960,Directing,Billy Wilder
1960,Film Editing,Daniel Mandell
1960,International Feature Film,The Virgin Spring
1960,Best Picture,The Apartment
1960,Writing (Adapted Screenplay),Richard Brooks
1960,Writing (Original Screenplay),Billy Wilder / I. A. L. Diamond
